City,Latitude,Longitude,Restaurant_Count,Province
Watermael-Boitsfort,50.7966762,4.417794,3,Bruxelles
Vosselaar,51.3131256,4.888201,3,Vlaams Gewest
Tremelo,50.9911852,4.7036654,3,Vlaams Gewest
Sint-Pieters-Leeuw,50.7812959,4.2458165,3,Vlaams Gewest
Sint-Lievens-Houtem,50.9202407,3.859262,3,Vlaams Gewest
Scherpenheuvel-Zichem,50.9800833,4.9753544,3,Vlaams Gewest
Schaarbeek,50.8643377,4.3735116,3,Brussel
Rumst,51.10112179999999,4.4126516,3,Vlaams Gewest
Riemst,50.81177539999999,5.5951168,3,Vlaams Gewest
Ranst,51.1878447,4.5639057,3,Vlaams Gewest
Poperinge,50.8558252,2.7254617,3,Vlaams Gewest
Pelt,51.2284094,5.4342882,3,Vlaams Gewest
Overpelt,51.1970553,5.3970123,3,Vlaams Gewest
Oud-Turnhout,51.3178814,4.9822136,3,Vlaams Gewest
Opwijk,50.9696888,4.1800803,3,Vlaams Gewest
Oostduinkerke,51.1172798,2.6901458,3,Vlaams Gewest
Middelkerke,51.1851395,2.8207939,3,Vlaams Gewest
Menin,50.79683439999999,3.126679,3,Vlaams Gewest
Menen,50.79683439999999,3.126679,3,Vlaams Gewest
Malle,51.2968076,4.6941671,3,Vlaams Gewest
Maldegem,51.2090311,3.4486286,3,Vlaams Gewest
Machelen,50.912833,4.4332364,3,Vlaams Gewest
Maaseik,51.09616760000001,5.7864575,3,Vlaams Gewest
Liedekerke,50.8692825,4.0876947,3,Vlaams Gewest
Lembeek,50.7140616,4.220043599999999,3,Vlaams Gewest
Lede,50.9651705,3.9773105,3,Vlaams Gewest
Lebbeke,51.0001109,4.128039,3,Vlaams Gewest
Lasne,50.6865073,4.4840992,3,Région Wallonne
Kruibeke,51.1705936,4.3124018,3,Vlaams Gewest
Kraainem,50.8617254,4.4572714,3,Région Flamande
Kortenberg,50.8883743,4.5440122,3,Vlaams Gewest
Keerbergen,51.0030132,4.6321239,3,Vlaams Gewest
Houthalen,51.03146270000001,5.376354099999999,3,Vlaams Gewest
Hamont-Achel,51.2510217,5.5424821,3,Vlaams Gewest
Halluin,50.503887,4.469936,3,Région Wallonne
Hal,50.7340969,4.2296554,3,Vlaams Gewest
Grobbendonk,51.1909946,4.7385192,3,Vlaams Gewest
Grez-Doiceau,50.73845499999999,4.6981438,3,Région Wallonne
Gentbrugge,51.0432117,3.7592682,3,Vlaams Gewest
Elsene,50.8278557,4.3714303,3,Bruxelles
Drogenbos,50.7946129,4.3138957,3,Vlaams Gewest
Dilsen-Stokkem,51.0360931,5.7294209,3,Vlaams Gewest
Brussel-Hoofdstad,50.8475937,4.3573821,3,Bruxelles
Bruges,51.20845079999999,3.2250586,3,Vlaams Gewest
Braine-le-Château,50.6831281,4.2936995,3,Région Wallonne
Boortmeerbeek,50.9760315,4.561166399999999,3,Vlaams Gewest
Beverlo,51.0873,5.21898,3,Vlaams Gewest
Berlaar,51.11828449999999,4.6594893,3,Vlaams Gewest
Alsemberg,50.74163,4.33613,3,Vlaams Gewest
,50.503887,4.469936,3,Région Wallonne
Zwijndrecht,51.2190746,4.3264876,2,Vlaams Gewest
Zwevegem,50.8130329,3.3328026,2,Vlaams Gewest
Woluwe Saint-Lambert,50.8415257,4.4337046,2,Bruxelles
Wilsele,50.8967552,4.7053468,2,Vlaams Gewest
Wezembeek-Oppem,50.840067,4.4937248,2,Vlaams Gewest
Wervik,50.77827139999999,3.0440352,2,Vlaams Gewest
Waarloos,51.105061,4.454695900000001,2,Vlaams Gewest
Ukkel,50.7956957,4.3736365,2,Bruxelles
Torhout,51.0624326,3.1026301,2,Vlaams Gewest
Tervuren,50.8257627,4.5078285,2,Vlaams Gewest
Stekene,51.2025711,4.0381912,2,Vlaams Gewest
Spiere-Helkijn,50.7179671,3.3569882,2,Vlaams Gewest
Sleidinge,51.1319702,3.6789117,2,Vlaams Gewest
Sittard,50.503887,4.469936,2,Région Wallonne
Sint-Lambrechts-Woluwe,50.8415257,4.4337046,2,Bruxelles
Sint-Andries,51.1972024,3.1794755,2,Vlaams Gewest
Schepdaal,50.8383485,4.1958272,2,Vlaams Gewest
Saint Josse Ten Noode,50.8499102,4.3730202,2,Brussel
Ruisbroek,51.08799,4.33107,2,Vlaams Gewest
Rixensart,50.71225039999999,4.527667999999999,2,Région Wallonne
Rijmenam,51.00204590000001,4.5856815,2,Vlaams Gewest
Rijkevorsel,51.3500167,4.7594946,2,Vlaams Gewest
Oupeye,50.7093163,5.6442252,2,Région Wallonne
Ostende,51.22471849999999,2.9092214,2,Vlaams Gewest
Oostrozebeke,50.9210134,3.3392762,2,Vlaams Gewest
Oostakker,51.09971299999999,3.7642304,2,Vlaams Gewest
Neder-over-Heembeek,50.8953309,4.3880767,2,Bruxelles
Nazareth,50.9596361,3.5956111,2,Vlaams Gewest
Moorslede,50.8911974,3.0633592,2,Vlaams Gewest
Merksplas,51.3580982,4.8635076,2,Vlaams Gewest
Melle,51.0007376,3.8057456,2,Vlaams Gewest
Meerhout,51.132046,5.0770635,2,Vlaams Gewest
Lochristi,51.0991754,3.8445454,2,Vlaams Gewest
Lille,51.2418237,4.8232371,2,Vlaams Gewest
Lennik,50.8053171,4.1545677,2,Vlaams Gewest
Lendelede,50.8862647,3.2383572,2,Vlaams Gewest
Landen,50.74833719999999,5.0810705,2,Vlaams Gewest
Kuringen,50.94387,5.29789,2,Vlaams Gewest
Kinrooi,51.1454897,5.7418881,2,Vlaams Gewest
Kessel,51.13915,4.62968,2,Vlaams Gewest
Kermt,50.94767,5.246760000000001,2,Vlaams Gewest
Kalken,51.0383253,3.9183591,2,Vlaams Gewest
Jodoigne,50.7233856,4.8712491,2,Région Wallonne
Ichtegem,51.1212064,3.0337158,2,Vlaams Gewest
Hulshout,51.0756472,4.7889894,2,Vlaams Gewest
Hoeselt,50.8497764,5.4910687,2,Vlaams Gewest
Herselt,51.0535867,4.8829497,2,Vlaams Gewest
Hamont,51.25272,5.54953,2,Vlaams Gewest
Grand-Bigard,50.8719066,4.2500012,2,Vlaams Gewest
Ghent,51.0499922,3.7303853,2,Vlaams Gewest
Geetbets,50.8888913,5.1657039,2,Vlaams Gewest
Frasnes-lez-Anvaing,50.6667703,3.6194938,2,Région Wallonne
Ertvelde,51.1787632,3.7466865,2,Vlaams Gewest
Drongen,51.054011,3.6615363,2,Vlaams Gewest
Diksmuide,51.0317365,2.8638919,2,Vlaams Gewest
Destelbergen,51.0558591,3.7949533,2,Vlaams Gewest
Dessel,51.2392168,5.1129213,2,Vlaams Gewest
De Klinge,51.25620600000001,4.090040699999999,2,Vlaams Gewest
De Haan,51.2725443,3.0335793,2,Vlaams Gewest
Buizingen,50.741419,4.2500475,2,Vlaams Gewest
Brecht,51.3496652,4.6379832,2,Vlaams Gewest
Braine l'Alleud,50.6852876,4.3752475,2,Région Wallonne
Boutersem,50.8410754,4.8347722,2,Vlaams Gewest
Borgloon,50.8033729,5.3334245,2,Vlaams Gewest
Booischot,51.05151,4.77523,2,Vlaams Gewest
Boechout,51.1662505,4.496432899999999,2,Vlaams Gewest
Beveren-Waas,51.2132887,4.2581365,2,Vlaams Gewest
Betekom,50.98566,4.7817,2,Vlaams Gewest
Berlare,51.0252056,4.003722,2,Vlaams Gewest
Belsele,51.1428369,4.0861828,2,Vlaams Gewest
Begijnendijk,51.0187914,4.7826539,2,Vlaams Gewest
Aubel,50.7043899,5.858471799999999,2,Région Wallonne
Arendonk,51.32277490000001,5.0775438,2,Vlaams Gewest
Antwerp,51.2199302,4.414990299999999,2,Vlaams Gewest
Ans,50.6638539,5.5115031,2,Région Wallonne
Alken,50.8748926,5.305571599999999,2,Vlaams Gewest
Zwijnaarde,50.99980619999999,3.7106183,1,Vlaams Gewest
Zutendaal,50.93198599999999,5.572415899999999,1,Vlaams Gewest
Zoutleeuw,50.8323245,5.1045143,1,Vlaams Gewest
Zomergem,51.1192868,3.5644511,1,Vlaams Gewest
Zoerle-Porwijs,51.08879,4.868939999999999,1,Vlaams Gewest
Zellik,50.88449,4.27401,1,Vlaams Gewest
Zeebrugge,51.3315136,3.2062847,1,Vlaams Gewest
Zammel (Geel),51.1015,4.94856,1,Vlaams Gewest
Wondelgem,51.09050089999999,3.7160657,1,Vlaams Gewest
Woluwe-Sint-Lambrecht,50.8456203,4.4175388,1,Bruxelles
Woluwe-Saint-Etienne,50.8691316,4.450322799999999,1,Vlaams Gewest
Woluwe saint lambert,50.8456203,4.4175388,1,Bruxelles
Wingene,51.0579554,3.277482,1,Vlaams Gewest
Wezembeek,50.840067,4.4937248,1,Vlaams Gewest
Westmeerbeek,51.06032,4.8351,1,Vlaams Gewest
Westmalle,51.2968136,4.694263299999999,1,Vlaams Gewest
Westende,51.1687058,2.7759824,1,Vlaams Gewest
Wervick-Sud,50.77032,3.0480489,1,Hauts-de-France
Wenduine,51.2976457,3.0830791,1,Vlaams Gewest
Wellen,50.8415407,5.3303698,1,Vlaams Gewest
Weelde,51.406763,4.9908357,1,Vlaams Gewest
Wauthier-Braine,50.68121,4.29806,1,Région Wallonne
Wauthier Braine,50.68121,4.29806,1,Région Wallonne
Waasmunster,51.1110222,4.0876445,1,Vlaams Gewest
Waarschoot,51.1514819,3.6060488,1,Vlaams Gewest
Vrasene,51.2193961,4.1944794,1,Vlaams Gewest
Vorst,50.8202973,4.325840299999999,1,Bruxelles
Vissenaken,50.83768,4.90484,1,Vlaams Gewest
Vise,50.7378047,5.6956089,1,Région Wallonne
Virginal,39.3237019,-80.1161923,1,West Virginia
Veurne,51.0726963,2.6625315,1,Vlaams Gewest
Valkenswaard,51.3554957,5.4533268,1,Noord-Brabant
Tubeke,50.6944925,4.2040202,1,Région Wallonne
Tournai,50.6127324,3.379139,1,Région Wallonne
Tielen,51.2434976,4.8976789,1,Vlaams Gewest
Testelt,51.016921,4.9549334,1,Vlaams Gewest
