City,Latitude,Longitude,Restaurant_Count,Province
Menen,50.79683439999999,3.126679,3,Flanders
Malle,51.2968076,4.6941671,3,Flanders
Maldegem,51.2090311,3.4486286,3,Flanders
Machelen,50.912833,4.4332364,3,Flanders
Maaseik,51.09616760000001,5.7864575,3,Flanders
Liedekerke,50.8692825,4.0876947,3,Flanders
Lembeek,50.7140616,4.220043599999999,3,Flanders
Lede,50.9651705,3.9773105,3,Flanders
Lebbeke,51.0001109,4.128039,3,Flanders
Lasne,50.6865073,4.4840992,3,Wallonia
Kruibeke,51.1705936,4.3124018,3,Flanders
Kortenberg,50.8883743,4.5440122,3,Flanders
Keerbergen,51.0030132,4.6321239,3,Flanders
Houthalen,51.03146270000001,5.376354099999999,3,Flanders
Hamont-Achel,51.2510217,5.5424821,3,Flanders
Halluin,50.503887,4.469936,3,Wallonia
Hal,50.7340969,4.2296554,3,Flanders
Grobbendonk,51.1909946,4.7385192,3,Flanders
Grez-Doiceau,50.73845499999999,4.6981438,3,Wallonia
Gentbrugge,51.0432117,3.7592682,3,Flanders
Elsene,50.8278557,4.3714303,3,Brussel
Drogenbos,50.7946129,4.3138957,3,Flanders
Dilsen-Stokkem,51.0360931,5.7294209,3,Flanders
Brussel-Hoofdstad,50.8475937,4.3573821,3,Brussel
Bruges,51.20845079999999,3.2250586,3,Flanders
Braine-le-Château,50.6831281,4.2936995,3,Wallonia
Boortmeerbeek,50.9760315,4.561166399999999,3,Flanders
Beverlo,51.0873,5.21898,3,Flanders
Berlaar,51.11828449999999,4.6594893,3,Flanders
Alsemberg,50.74163,4.33613,3,Flanders
,50.503887,4.469936,3,Wallonia
Zwijndrecht,51.2190746,4.3264876,2,Flanders
Zwevegem,50.8130329,3.3328026,2,Flanders
Woluwe Saint-Lambert,50.8415257,4.4337046,2,Brussel
Wilsele,50.8967552,4.7053468,2,Flanders
Wezembeek-Oppem,50.840067,4.4937248,2,Flanders
Wervik,50.77827139999999,3.0440352,2,Flanders
Waarloos,51.105061,4.454695900000001,2,Flanders
Ukkel,50.7956957,4.3736365,2,Brussel
Torhout,51.0624326,3.1026301,2,Flanders
Tervuren,50.8257627,4.5078285,2,Flanders
Stekene,51.2025711,4.0381912,2,Flanders
Spiere-Helkijn,50.7179671,3.3569882,2,Flanders
Sleidinge,51.1319702,3.6789117,2,Flanders
Sittard,50.503887,4.469936,2,Wallonia
Sint-Lambrechts-Woluwe,50.8415257,4.4337046,2,Brussel
Sint-Andries,51.1972024,3.1794755,2,Flanders
Schepdaal,50.8383485,4.1958272,2,Flanders
Saint Josse Ten Noode,50.8499102,4.3730202,2,Brussel
Ruisbroek,51.08799,4.33107,2,Flanders
Rixensart,50.71225039999999,4.527667999999999,2,Wallonia
Rijmenam,51.00204590000001,4.5856815,2,Flanders
Rijkevorsel,51.3500167,4.7594946,2,Flanders
Oupeye,50.7093163,5.6442252,2,Wallonia
Ostende,51.22471849999999,2.9092214,2,Flanders
Oostrozebeke,50.9210134,3.3392762,2,Flanders
Oostakker,51.09971299999999,3.7642304,2,Flanders
Neder-over-Heembeek,50.8953309,4.3880767,2,Brussel
Nazareth,50.9596361,3.5956111,2,Flanders
Moorslede,50.8911974,3.0633592,2,Flanders
Merksplas,51.3580982,4.8635076,2,Flanders
Melle,51.0007376,3.8057456,2,Flanders
Meerhout,51.132046,5.0770635,2,Flanders
Lochristi,51.0991754,3.8445454,2,Flanders
Lille,51.2418237,4.8232371,2,Flanders
Lennik,50.8053171,4.1545677,2,Flanders
Lendelede,50.8862647,3.2383572,2,Flanders
Landen,50.74833719999999,5.0810705,2,Flanders
Kuringen,50.94387,5.29789,2,Flanders
Kinrooi,51.1454897,5.7418881,2,Flanders
Kessel,51.13915,4.62968,2,Flanders
Kermt,50.94767,5.246760000000001,2,Flanders
Kalken,51.0383253,3.9183591,2,Flanders
Jodoigne,50.7233856,4.8712491,2,Wallonia
Ichtegem,51.1212064,3.0337158,2,Flanders
Hulshout,51.0756472,4.7889894,2,Flanders
Hoeselt,50.8497764,5.4910687,2,Flanders
Herselt,51.0535867,4.8829497,2,Flanders
Hamont,51.25272,5.54953,2,Flanders
Grand-Bigard,50.8719066,4.2500012,2,Flanders
Ghent,51.0499922,3.7303853,2,Flanders
Geetbets,50.8888913,5.1657039,2,Flanders
Frasnes-lez-Anvaing,50.6667703,3.6194938,2,Wallonia
Ertvelde,51.1787632,3.7466865,2,Flanders
Drongen,51.054011,3.6615363,2,Flanders
Diksmuide,51.0317365,2.8638919,2,Flanders
Destelbergen,51.0558591,3.7949533,2,Flanders
Dessel,51.2392168,5.1129213,2,Flanders
De Klinge,51.25620600000001,4.090040699999999,2,Flanders
De Haan,51.2725443,3.0335793,2,Flanders
Buizingen,50.741419,4.2500475,2,Flanders
Brecht,51.3496652,4.6379832,2,Flanders
Braine l'Alleud,50.6852876,4.3752475,2,Wallonia
Boutersem,50.8410754,4.8347722,2,Flanders
Borgloon,50.8033729,5.3334245,2,Flanders
